1a,53443 00000 53445 12334 11221 21552
1b,23344 00000 51443 42332 15225 11551
1c,22353 00000 11445 41334 35221 14552
1d,52454 00000 13443 11332 31225 24551
2a,52455 00000 13443 11332 31221 24554
2b,22352 00000 11445 41334 35223 14551
2c,23345 00000 51443 42332 15221 11554
2d,53442 00000 53445 12334 11223 21551
3a,22354 00000 11443 41335 35221 14552
3b,52453 00000 13442 11334 31225 24551
3c,53444 00000 53443 12335 11221 21552
3d,23343 00000 51442 42334 15225 11551
4a,23344 00000 51443 42335 15221 11552
4b,53443 00000 53442 12334 11225 21551
4c,52454 00000 13443 11335 31221 24552
4d,22353 00000 11442 41334 35225 14551
5a,22353 00000 11442 41335 35221 14554
5b,52454 00000 13442 11335 31223 24551
5c,53443 00000 53442 12335 11221 21554
5d,23344 00000 51442 42335 15223 11551
6a,52453 00000 13442 11335 31221 24554
6b,22354 00000 11442 41335 35223 14551
6c,23343 00000 51442 42335 15221 11554
6d,53444 00000 53442 12335 11223 21551
7a,52451 00000 13442 11333 31225 24554
7b,52451 00000 13445 11333 31224 24552
7c,23341 00000 51445 42333 15224 11552
7d,23341 00000 51442 42333 15225 11554
8a,52451 00000 13444 11332 31225 24553
8b,23341 00000 51444 42332 15225 11553
8c,52451 00000 13445 11334 31222 24553
8d,23341 00000 51445 42334 15222 11553
9a,53444 00000 53442 12333 11221 21555
9b,52453 00000 13444 11335 31222 24551
10a,22353 00000 11444 41335 35222 14551
10b,22355 00000 11444 41331 35222 14553
11a,53445 00000 53444 12333 11221 21552
11b,23342 00000 51444 42333 15225 11551
11c,22355 00000 11444 41333 35221 14552
11d,52452 00000 13444 11333 31225 24551
12a,23343 00000 51444 42332 15221 11555
12b,53444 00000 53445 12333 11222 21551
12c,52453 00000 13444 11332 31221 24555
12d,22354 00000 11445 41333 35222 14551
13a,22353 00000 11445 41331 35222 14554
13b,52454 00000 13441 11332 31223 24555
13c,22353 00000 11444 41331 35225 14552
13d,52454 00000 13441 11333 31225 24552
14a,22352 00000 11443 41334 35221 14555
14b,22354 00000 11441 41333 35225 14552
14c,22352 00000 11445 41333 35221 14554
14d,22354 00000 11441 41332 35223 14555
15a,23345 00000 51442 42333 15224 11551
15b,52455 00000 13442 11333 31224 24551
16,52451 00000 13442 11335 31224 24553
17a,52451 00000 13445 11332 31223 24554
17b,52451 00000 13443 11334 31225 24552
18a,12153 00000 14445 31334 32221 54552
18b,12154 00000 14443 31332 32225 54551
18c,12155 00000 14443 31332 32221 54554
18d,12152 00000 14445 31334 32223 54551
18e,12155 00000 14441 31334 32223 54552
18f,12152 00000 14443 31331 32225 54554
18g,12153 00000 14441 31332 32225 54554
18h,12154 00000 14445 31331 32223 54552
19a,12153 00000 14445 31332 32224 54551
19b,12154 00000 14445 31332 32221 54553
19c,12153 00000 14442 31334 32225 54551
19d,12154 00000 14443 31335 32221 54552
19e,12155 00000 14442 31331 32223 54554
19f,12152 00000 14441 31335 32223 54554
19g,12155 00000 14443 31331 32224 54552
19h,12152 00000 14441 31334 32225 54553
20a,12154 00000 14442 31335 32223 54551
20b,12155 00000 14441 31332 32224 54553
20c,12153 00000 14442 31335 32221 54554
20d,12152 00000 14445 31331 32224 54553
20e,12155 00000 14442 31334 32221 54553
20f,12154 00000 14442 31331 32225 54553
20g,12152 00000 14443 31335 32224 54551
20h,12153 00000 14441 31335 32224 54552
21a,12151 00000 14442 31334 32223 54555
21b,12151 00000 14442 31333 32225 54554
21c,12151 00000 14443 31335 32222 54554
21d,12151 00000 14444 31335 32223 54552
21e,12151 00000 14443 31332 32224 54555
21f,12151 00000 14445 31333 32224 54552
21g,12151 00000 14445 31334 32222 54553
21h,12151 00000 14444 31332 32225 54553
22a,12155 00000 14444 31331 32222 54553
22b,12152 00000 14441 31333 32224 54555
22c,12154 00000 14442 31333 32221 54555
22d,12153 00000 14444 31335 32222 54551
23a,12155 00000 14444 31333 32221 54552
23b,12152 00000 14444 31333 32225 54551
23c,12154 00000 14443 31331 32222 54555
23d,12153 00000 14441 31334 32222 54555
23e,12153 00000 14444 31332 32221 54555
23f,12154 00000 14445 31333 32222 54551
23g,12155 00000 14441 31333 32222 54554
23h,12152 00000 14444 31331 32223 54555
24a,12152 00000 14443 31334 32221 54555
24b,12155 00000 14443 31334 32222 54551
24c,12154 00000 14441 31333 32225 54552
24d,12153 00000 14444 31331 32225 54552
25a,12153 00000 14445 31331 32222 54554
25b,12152 00000 14445 31333 32221 54554
25c,12154 00000 14441 31332 32223 54555
25d,12155 00000 14444 31332 32223 54551
26a,12153 00000 14442 31331 32224 54555
26b,12152 00000 14444 31335 32221 54553
26c,12154 00000 14441 31335 32222 54553
26d,12155 00000 14442 31333 32224 54551
27,12151 00000 14444 31333 32222 54555
28,12151 00000 14442 31335 32224 54553
29a,12151 00000 14443 31334 32225 54552
29b,12151 00000 14445 31332 32223 54554
30a,11112 00000 44443 33334 22221 55555
30b,11115 00000 44443 33334 22222 55551
31a,11113 00000 44442 33331 22224 55555
31b,11111 00000 44442 33333 22225 55554
32,11111 00000 44443 33334 22225 55552
33,11111 00000 44442 33335 22224 55553
34a,11112 00000 44444 33331 22223 55555
34b,11114 00000 44443 33331 22222 55555
35a,11114 00000 44445 33332 22221 55553
35b,11113 00000 44445 33332 22224 55551
36a,11113 00000 44442 33335 22221 55554
36b,11114 00000 44442 33335 22223 55551
37a,11113 00000 44445 33334 22221 55552
37b,11114 00000 44443 33332 22225 55551
